,Clostridiales,Bacteroidales,Gemellales,Actinomycetales,Enterobacteriales,Pseudomonadales,Bacillales,Streptophyta,Lactobacillales,Neisseriales,Erysipelotrichales,Pasteurellales,Bifidobacteriales,Turicibacterales,Burkholderiales,Desulfovibrionales,Verrucomicrobiales,Coriobacteriales
Clostridiales,0.8382352941176471,0.3793103448275862,0.5,0.8571428571428571,0.35294117647058826,0.0,NaN,1.0,1.0,1.0,0.8148148148148148,1.0,1.0,1.0,NaN,1.0,NaN,0.8235294117647058
Bacteroidales,0.3793103448275862,0.9910714285714286,0.0,NaN,NaN,0.3333333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,NaN,0.0
Gemellales,0.5,0.0,NaN,1.0,NaN,1.0,NaN,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Actinomycetales,0.8571428571428571,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Enterobacteriales,0.35294117647058826,NaN,NaN,NaN,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pseudomonadales,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bacillales,NaN,NaN,NaN,1.0,1.0,1.0,NaN,1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Streptophyta,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lactobacillales,1.0,NaN,1.0,1.0,NaN,1.0,1.0,1.0,1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN
Neisseriales,1.0,NaN,1.0,1.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN
Erysipelotrichales,0.8148148148148148,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1.0
Pasteurellales,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bifidobacteriales,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,1.0
Turicibacterales,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Burkholderiales,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Desulfovibrionales,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Verrucomicrobiales,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Coriobacteriales,0.8235294117647058,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,1.0,NaN,NaN,NaN,NaN,1.0
