,Clostridiales,Bacteroidales,Gemellales,Actinomycetales,Enterobacteriales,Pseudomonadales,Bacillales,Streptophyta,Lactobacillales,Neisseriales,Erysipelotrichales,Pasteurellales,Bifidobacteriales,Turicibacterales,Burkholderiales,Desulfovibrionales,Verrucomicrobiales,Coriobacteriales
Clostridiales,680,87,4,7,17,5,0,1,3,1,27,2,2,4,0,1,0,17
Bacteroidales,87,112,1,0,0,3,0,0,0,0,0,0,0,0,1,3,0,2
Gemellales,4,1,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Actinomycetales,7,0,2,2,0,1,1,1,5,2,0,0,0,0,0,0,0,0
Enterobacteriales,17,0,0,0,27,3,3,1,0,0,0,0,0,0,0,0,0,0
Pseudomonadales,5,3,1,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0
Bacillales,0,0,0,1,3,1,0,1,4,0,1,0,0,0,0,0,0,0
Streptophyta,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
Lactobacillales,3,0,2,5,0,1,4,1,5,2,0,2,0,0,0,0,0,0
Neisseriales,1,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Erysipelotrichales,27,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2
Pasteurellales,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Bifidobacteriales,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Turicibacterales,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrionales,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coriobacteriales,17,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
