"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae",NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Finegoldia",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","aureus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Cyanobacteria","Chloroplast","Streptophyta",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","agglomerans"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
