"i","j","x"
1,7,0.0323226172576769
3,8,0.153369360790978
4,14,-0.013076658216971
9,17,0.124685099518716
4,19,0.0055348245714415
4,20,0.319900617791553
7,20,0.0323616234739048
12,20,-0.0808188376164559
18,20,-0.0309741223997472
7,23,-0.00370694548479095
18,23,0.0427560822236393
20,23,-0.117595342502826
20,25,-0.00328998669662162
11,27,0.0837309176350087
24,29,0.398323190203469
15,30,-0.00436990519774974
18,30,0.11079996950144
23,30,0.000930889427241371
4,32,-0.0044113343204519
14,32,0.0290624942019748
20,32,-0.0254218411377946
24,32,0.133929727651875
3,33,0.0373292257471724
24,34,0.58971053212393
32,34,0.0566581698003688
20,35,-0.108767512246254
20,38,-0.0135393160007662
7,39,0.0178922134391821
20,39,0.0241308300817903
14,40,0.169545778847039
24,40,0.245531529551925
32,40,0.135244158849916
34,40,0.110677140194192
1,41,0.150414369061651
2,41,0.0221939315951359
6,41,0.1639195505397
16,42,0.00216747607467607
1,44,-0.0284092881479308
6,44,-0.0189956687801489
10,44,0.0552456478337043
30,44,0.0385066872465314
20,46,-0.0260512076577355
29,48,0.130951750033701
44,50,0.199255334917594
14,52,0.120315915197184
30,53,0.0172132771417204
51,53,0.0325670363867318
42,54,-0.0113820326904203
21,55,0.0331262163636855
54,56,0.229515297438873
4,57,0.00377218595847792
20,57,0.0356502719472374
32,57,-0.0271837865484673
35,57,-0.0173325261218314
41,57,0.00767163382054814
20,59,0.0412739991042299
30,59,-0.00344505451674412
5,62,0.0547561426652902
15,62,0.216717525799889
20,62,0.0164605137793607
13,63,0.0731563361373909
18,63,0.0313478998284456
30,63,0.00267941346712852
54,63,0.00255977587362688
62,63,-0.0054645295981457
6,65,0.00169240503682302
41,65,0.0069490405416249
10,66,0.191797823405266
17,67,0.0395950216726697
41,67,-0.0819019268466134
54,67,0.0413405851858225
19,69,0.12022425994059
20,69,0.0625003859902945
2,72,0.146402556234892
38,72,0.134287502640318
10,73,0.113380737514725
68,73,0.105473575289176
20,74,-0.00709257365753244
68,74,0.0170566588045839
73,74,0.114615392055271
20,75,-0.0556587052563743
28,77,0.675050169389047
44,77,0.204055595043581
66,77,0.122495176876937
10,79,0.0106505122920403
30,79,0.0603332229383028
53,79,0.171157278493622
68,79,0.0173267484132081
73,79,0.0449143713025265
74,79,0.0225829588326284
3,80,0.0424610620843762
8,80,0.0717579116504839
7,81,0.0368572139418324
22,81,0.128392576120425
52,82,0.0816112600486719
59,83,0.231736853341734
68,83,0.229823964621933
