,Fusobacteriales,Actinomycetales,Bacteroidales,Flavobacteriales,Neisseriales,Burkholderiales,Lactobacillales,Clostridiales,Gemellales,Pasteurellales,Campylobacterales,Bacillales,Coriobacteriales
Fusobacteriales,1.0,0.5,1.0,NaN,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN
Actinomycetales,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,NaN,NaN,NaN,1.0,1.0
Bacteroidales,1.0,0.3333333333333333,1.0,0.0,NaN,NaN,0.7142857142857143,0.8333333333333334,0.0,NaN,NaN,0.0,1.0
Flavobacteriales,NaN,1.0,0.0,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,0.0
Neisseriales,1.0,1.0,NaN,1.0,1.0,1.0,0.3333333333333333,0.0,NaN,1.0,NaN,NaN,NaN
Burkholderiales,NaN,1.0,NaN,NaN,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN
Lactobacillales,NaN,1.0,0.7142857142857143,NaN,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,NaN,NaN
Clostridiales,1.0,0.5,0.8333333333333334,NaN,0.0,NaN,0.6666666666666666,1.0,NaN,1.0,1.0,0.0,1.0
Gemellales,NaN,NaN,0.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN
Pasteurellales,NaN,NaN,NaN,NaN,1.0,NaN,1.0,1.0,NaN,1.0,NaN,NaN,NaN
Campylobacterales,NaN,NaN,NaN,1.0,NaN,NaN,0.0,1.0,NaN,NaN,NaN,NaN,NaN
Bacillales,NaN,1.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN
Coriobacteriales,NaN,1.0,1.0,0.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN
