,Fusobacteriales,Actinomycetales,Bacteroidales,Flavobacteriales,Neisseriales,Burkholderiales,Lactobacillales,Clostridiales,Gemellales,Pasteurellales,Campylobacterales,Bacillales,Coriobacteriales
Fusobacteriales,1,4,3,0,1,0,0,6,0,0,0,0,0
Actinomycetales,4,7,3,2,2,2,2,6,0,0,0,2,1
Bacteroidales,3,3,2,1,0,0,7,12,1,0,0,1,1
Flavobacteriales,0,2,1,2,1,0,0,0,0,0,1,0,1
Neisseriales,1,2,0,1,1,1,3,1,0,1,0,0,0
Burkholderiales,0,2,0,0,1,0,1,0,0,0,0,0,0
Lactobacillales,0,2,7,0,3,1,5,3,3,2,1,0,0
Clostridiales,6,6,12,0,1,0,3,6,0,1,1,1,3
Gemellales,0,0,1,0,0,0,3,0,0,0,0,0,0
Pasteurellales,0,0,0,0,1,0,2,1,0,1,0,0,0
Campylobacterales,0,0,0,1,0,0,1,1,0,0,0,0,0
Bacillales,0,2,1,0,0,0,0,1,0,0,0,0,0
Coriobacteriales,0,1,1,1,0,0,0,3,0,0,0,0,0
