"i","j","x"
1,4,0.00888792888643264
7,8,0.0204883754100317
11,12,0.0447856451373552
9,17,0.166681345354236
6,20,-0.00155158936929656
3,21,0.0842901661210324
10,26,-0.0613074043625308
13,26,0.0161343593939563
6,27,0.180553164729364
11,27,0.0171375144796842
3,29,0.0105583576179303
27,29,0.0567947806851987
10,31,-0.0485203288900275
13,31,0.0554416596638744
13,33,0.0346028282657602
5,38,0.011690315149372
17,39,0.0132857675706841
10,40,0.43570355550495
26,40,-0.0018896807293155
31,40,-0.0064224453292927
9,41,0.0190744897983341
17,41,0.17577226406425
36,41,0.0135423909538873
2,42,0.00474685232801175
4,44,0.144354673670542
30,44,0.170704211035231
3,45,-0.00772369582959109
36,45,0.0367488678077285
41,45,0.0658223301295456
44,45,0.189755549910252
32,46,0.400904023299583
40,46,0.42463921344347
13,49,0.190691558123581
16,49,-0.0175356253241383
33,49,0.216539241608619
9,50,0.00411152988019614
17,50,0.0324479033723154
16,51,0.0726840748162488
21,51,0.287086839599733
24,51,0.105467754228226
6,52,0.0336256404901116
17,52,-0.00672710479685051
20,52,-0.0617054162874205
3,53,0.0407002556328362
29,53,0.108277510693349
38,53,0.129828065897509
51,53,0.055234741732731
9,54,0.0303116038000603
17,54,0.0316694401372848
20,54,0.0794817667162264
31,54,0.164946605218158
34,54,-0.099002336260173
36,54,0.209464249769632
41,54,0.0228474503340866
20,55,0.161029604120653
31,55,0.127293270580927
36,55,0.0992430312971289
38,55,-0.00609696458817927
39,55,0.13207865310636
54,55,0.0469552380192758
2,56,0.25729823859252
11,56,0.0655115597789397
50,58,0.0653516237378212
55,58,0.0310593454069782
2,60,-0.019621101444993
50,60,0.00540098895812274
28,61,0.102440429322756
4,62,-0.0239927676471934
44,62,-0.0428842799198464
29,63,0.239263517208039
17,64,0.303488364143684
19,64,0.0886533830244198
60,64,0.000602113045020169
1,66,0.0417706537169087
4,66,0.12091682475486
44,66,0.0488447080610596
56,67,0.0164832161595027
26,68,-0.0182499907640586
44,68,0.0206999554163463
13,69,-0.0136973615451189
49,69,-0.0314520624796771
53,69,0.0698482833145146
5,70,0.099974439737561
25,70,0.205138561427413
27,70,0.00763758893659083
29,70,0.0231243460340055
52,70,0.0919719643934339
26,73,0.00404130469524949
33,73,0.139895448459556
49,73,0.161862429101746
56,73,0.0402483991901738
39,74,0.0025656497378973
58,74,0.0277139772349133
2,75,0.289468342010339
9,75,-0.0469508331080394
11,75,0.0582710940686462
17,75,-0.0231916142433256
27,75,0.320138382537193
29,75,0.219899028034602
50,75,-0.0644034113053
52,75,0.0823298373456758
68,76,0.240169853949334
72,76,0.142147540053708
18,77,0.0298749647227072
66,77,0.151815260514943
16,78,0.0159325464864569
31,78,-0.0900891964025958
